TimeStep,DA,NA,Greedy,milpa,Greedy2,milpo,MI,FF
1,1,,1,1,1,,1,1
2,1,1,1,1,,1,,
3,1,,1,1,1,,,1
4,1,1,1,1,,1,,
5,1,,1,1,1,,,1
6,1,,,1,,1,,
7,1,1,,1,,1,,1
8,1,,,1,1,,,
9,1,1,,1,,1,,1
10,0,,,,,,,
11,1,1,1,1,,1,,1
12,1,,1,1,1,,,
13,0,,,,,,,1
14,1,1,1,1,,1,,
15,1,,1,1,1,1,,1
16,1,1,,1,,1,,
17,1,,1,1,1,,1,1
18,1,1,,1,,1,,
19,1,,1,1,1,,,1
20,1,1,,1,,1,,
21,0,,,,,,,1
22,1,1,1,1,1,1,,
23,0,,,,,,,1
24,1,1,1,1,1,1,,
25,0,,,,,,,1
26,1,1,1,1,1,1,,
27,0,,,,,,,1
28,1,1,1,1,,1,,
29,0,,,,,,,1
30,1,1,1,1,1,1,1,
31,0,,,,,,,1
32,1,1,1,1,1,1,,
33,0,,,,,,,1
34,1,1,1,1,1,1,,
35,0,,,,,,,1
36,1,1,1,1,1,1,,
37,0,,,,,,,1
38,0,,,,,,,
39,1,1,1,1,1,1,,1
40,0,,,,,,,
41,1,1,1,1,1,1,,1
42,0,,,,,,,
43,1,1,1,1,1,1,,1
44,0,,,,,,,
45,0,,,,,,1,1
46,1,1,1,1,1,1,,
47,0,,,,,,,1
48,0,,,,,,,
49,1,1,1,1,1,1,,1
50,0,,,,,,,
51,1,1,1,1,1,1,,1
52,1,,1,1,,,,
53,1,1,1,1,1,1,,1
54,0,,,,,,,
55,1,1,1,1,1,1,,1
56,0,,,,,,1,
57,1,1,1,1,1,1,,1
58,0,,,,,,,
59,1,1,1,1,1,1,,1
60,0,,,,,,,
61,1,1,1,1,1,1,,1
62,0,,,,,,,
63,1,1,1,1,1,1,,1
64,0,,,,,,,
65,1,1,1,1,1,1,,1
66,0,,,,,,,
67,1,1,1,1,1,1,1,1
68,0,,,,,,,
69,1,1,1,1,1,1,,1
70,0,,,,,,,
71,1,1,1,1,1,1,,1
72,0,,,,,,,
73,1,1,1,1,,1,,1
74,0,,,,,,,
75,1,1,1,1,1,1,,1
76,0,,,,,,,
77,1,1,1,1,,1,,1
78,1,1,1,1,1,1,,
79,0,,,,,,,1
80,1,1,1,1,1,1,,
81,0,,,,,,1,1
82,1,1,1,1,1,1,,
83,0,,,,,,,1
84,0,,,,,,,
85,0,,,,,,,1
86,1,1,1,1,1,1,,
87,0,,,,,,,1
88,1,1,1,1,1,1,,
89,0,,,,,,,1
90,1,1,1,1,1,1,,
91,0,,,,,,,1
92,0,,,,,,,
93,1,1,1,1,1,1,,1
94,0,,,,,,,
95,0,,,,,,1,1
96,1,1,1,1,1,1,,
97,0,,,,,,,1
98,0,,,,,,,
99,1,1,1,1,1,1,,1
100,0,,,,,,,
101,1,1,1,1,1,1,,1
102,0,,,,,,,
103,1,1,1,1,1,1,,1
104,0,,,,,,,
105,1,1,1,1,1,1,,1
106,0,,,,,,,
107,1,1,1,1,1,1,,1
108,0,,,,,,,
109,1,1,1,1,1,1,,1
110,0,,,,,,1,
111,1,1,1,1,1,1,,1
112,0,,,,,,,
113,1,1,1,1,1,1,,1
114,0,,,,,,,
115,1,1,1,1,1,1,,1
116,0,,,,,,,
117,1,1,1,1,1,1,,1
118,0,,,,,,,
119,1,1,1,1,1,1,,1
120,0,,,,,,,
121,1,1,1,1,1,1,,1
122,0,,,,,,,
123,1,1,1,1,1,1,1,1
124,0,,,,,,,
125,1,1,1,1,1,1,,1
126,1,1,1,1,,1,,
127,0,,,,,,,1
128,1,1,1,1,1,1,,
129,0,,,,,,,1
130,1,1,1,1,1,1,,
131,0,,,,,,,1
132,1,1,1,1,1,1,,
133,0,,,,,,,1
134,0,,,,,,,
135,1,1,1,1,1,1,1,1
136,0,,,,,,,
137,1,1,1,1,1,1,,1
138,0,,,,,,,
139,0,,,,,,,1
140,1,1,1,1,1,1,,
141,0,,,,,,,1
142,0,,,,,,,
143,1,1,1,1,1,1,,1
144,0,,,,,,,
145,0,,,,,,1,1
146,1,1,1,1,1,1,,
147,0,,,,,,,1
148,1,1,1,1,1,1,,
149,0,,,,,,,1
150,1,1,1,1,1,1,,
151,0,,,,,,,1
152,1,1,1,1,1,1,,
153,0,,,,,,,1
154,1,1,1,1,1,1,1,
155,0,,,,,,,1
156,1,1,1,1,1,1,,
157,0,,,,,,,1
158,1,1,1,1,1,1,,
159,0,,,,,,,1
160,1,1,1,1,1,1,,
161,0,,,,,,,1
162,1,1,1,1,1,1,,
163,0,,,,,,,1
164,1,1,1,1,1,1,1,
165,0,,,,,,,1
166,1,1,1,1,1,1,,
167,0,,,,,,,1
168,1,1,1,1,1,1,,
169,0,,,,,,,1
170,1,1,1,1,1,1,,
171,0,,,,,,,1
172,1,1,1,1,1,1,,
173,0,,,,,,,1
174,1,1,1,1,1,1,,
175,0,,,,,,,1
176,1,1,1,1,1,1,1,
177,0,,,,,,,1
178,1,1,1,1,1,1,,
179,0,,,,,,,1
180,0,,,,,,,
181,1,1,1,1,1,1,,1
182,0,,,,,,,
183,1,1,1,1,1,1,,1
184,0,,,,,,,
185,0,,,,,,,1
186,1,1,1,1,1,1,,
187,0,,,,,,1,1
188,0,,,,,,,
189,1,1,1,1,1,1,,1
190,0,,,,,,,
191,0,,,,,,,1
192,0,,,,,,,
